A,Team,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Brandon Clarke,MEM,6,134,0.559,68,32,9,5,6,3,3,8
Markieff Morris,DAL,26,216,0.338,66,39,16,5,3,11,12,12
Colby Jones,SAC,30,192,0.394,64,40,20,7,5,7,10,29
Charles Bassey,SAS,19,205,0.725,63,76,21,8,17,2,15,31
Cory Joseph,GSW,26,296,0.359,63,30,42,4,3,6,12,25
Jeenathan Williams,HOU,22,129,0.54,63,23,7,4,1,5,4,10
Justin Minaya,POR,34,381,0.297,61,56,21,9,10,1,9,35
Théo Maledon,2TM,17,213,0.286,59,24,28,7,0,0,18,21
Théo Maledon,CHO,13,200,0.288,54,23,28,7,0,0,15,18
Théo Maledon,PHO,4,13,0.25,5,1,0,0,0,0,3,3
Harry Giles,2TM,23,100,0.46,56,30,6,2,3,0,6,15
Harry Giles,BRK,16,81,0.5,54,26,6,1,3,0,6,15
Harry Giles,LAL,7,19,0.167,2,4,0,1,0,8,0,0
Brandon Williams,DAL,17,113,0.37,54,13,17,1,1,11,7,4
Micah Potter,UTA,16,186,0.475,53,43,6,4,6,4,5,14
Jeff Dowtin Jr.,PHI,12,142,0.556,52,20,27,7,1,9,5,1
Terquavion Smith,PHI,16,84,0.391,52,4,12,8,0,9,7,8
P.J. Tucker,2TM,31,486,0.36,52,85,16,16,7,0,8,54
P.J. Tucker,PHI,3,66,0.4,6,14,0,3,2,9,2,9
P.J. Tucker,LAC,28,420,0.356,46,71,16,13,5,12,6,45
James Bouknight,CHO,14,81,0.439,50,9,6,1,1,0,2,3
Josh Minott,MIN,32,91,0.472,50,17,8,5,5,13,2,10
Darius Bazley,2TM,9,152,0.6,48,28,7,6,7,0,8,3
Darius Bazley,PHI,3,10,0.0,0,1,2,0,0,9,1,0
Darius Bazley,UTA,6,142,0.621,48,27,5,6,7,4,7,3
AJ Griffin,ATL,20,171,0.29,48,18,5,1,2,6,8,6
Mãozinha Pereira,MEM,7,122,0.514,48,37,2,6,4,3,5,10
Jahmi'us Ramsey,TOR,7,121,0.439,47,22,8,7,0,4,7,10
Terry Taylor,CHI,31,188,0.513,46,37,10,5,2,7,7,17
Sidy Cissoko,SAS,12,141,0.485,45,22,10,7,3,2,3,18
Boban Marjanović,HOU,14,71,0.529,45,32,6,1,2,5,5,5
Ryan Rollins,2TM,13,78,0.519,44,13,14,10,3,0,8,8
Ryan Rollins,WAS,10,66,0.52,41,11,11,8,3,2,7,7
Ryan Rollins,MIL,3,12,0.5,3,2,3,2,0,13,1,1
DeJon Jarreau,MEM,9,150,0.34,43,44,26,6,2,3,9,14
Dylan Windler,3TM,17,108,0.5,43,16,10,2,0,0,2,6
Dylan Windler,NYK,3,7,0.5,3,1,1,0,0,14,0,1
Dylan Windler,LAL,8,28,0.444,12,3,6,0,0,8,0,2
Dylan Windler,ATL,6,73,0.526,28,12,3,2,0,6,2,3
Armoni Brooks,BRK,10,104,0.326,42,18,5,1,1,0,3,3
Jalen Pickett,DEN,27,122,0.429,42,14,21,4,0,14,9,13
Zavier Simpson,MEM,7,161,0.315,42,20,25,7,3,3,10,11
Cole Swider,MIA,18,87,0.395,42,7,5,1,1,8,8,4
Emoni Bates,CLE,15,133,0.306,41,14,10,1,2,12,8,5
T.J. Warren,MIN,11,125,0.439,41,22,9,4,1,13,4,11
Robert Williams,POR,6,119,0.654,41,38,5,7,7,1,7,17
Trevelin Queen,ORL,14,165,0.368,40,20,18,7,5,11,7,15
Joe Harris,DET,16,170,0.359,39,13,10,3,2,1,4,19
Otto Porter Jr.,TOR,15,174,0.424,39,29,8,5,5,4,2,19
Dru Smith,MIA,9,131,0.455,39,14,14,9,3,8,5,12
Marques Bolden,2TM,11,121,0.68,37,34,4,3,7,0,3,10
Marques Bolden,CHO,9,118,0.68,37,32,4,3,7,0,3,9
Adama Sanogo,CHI,9,66,0.519,36,36,0,1,0,7,5,5
Udoka Azubuike,PHO,16,113,0.696,35,32,3,1,6,0,4,17
Ibou Badji,POR,22,226,0.636,34,51,13,3,20,1,15,46
Buddy Boeheim,DET,10,84,0.31,34,10,3,0,1,1,0,5
Jalen Hood-Schifino,LAL,21,109,0.222,34,13,8,3,2,8,9,13
Olivier Sarr,OKC,15,98,0.579,34,36,2,0,7,15,3,18
Gabe Vincent,LAL,11,218,0.306,34,9,21,9,0,8,5,19
Taj Gibson,2TM,20,204,0.405,34,37,11,3,7,0,5,31
Taj Gibson,NYK,16,165,0.304,16,28,9,2,6,14,5,28
Taj Gibson,DET,4,39,0.571,18,9,2,1,1,1,0,3
Nate Hinton,HOU,15,75,0.423,33,22,10,3,2,5,3,11
Nathan Mensah,CHO,25,307,0.429,33,65,9,6,14,0,14,64
Xavier Moon,LAC,14,119,0.326,33,18,21,3,3,12,5,8
Thanasis Antetokounmpo,MIL,34,155,0.533,32,13,17,7,4,13,14,24
Matthew Hurt,MEM,8,113,0.353,32,16,4,3,3,3,2,8
Keon Johnson,BRK,5,61,0.381,31,7,3,3,1,0,5,5
Jerome Robinson,GSW,22,81,0.333,31,6,5,1,3,6,2,5
Moussa Diabaté,LAC,11,64,0.526,29,24,4,5,1,12,2,4
Jett Howard,ORL,18,67,0.333,29,7,6,2,2,11,3,4
Leonard Miller,MIN,17,52,0.65,29,20,8,2,1,13,1,5
Daishen Nix,MIN,15,50,0.375,27,3,6,5,0,13,5,2
