A,Team,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Keyonte George,UTA,75,2023,0.391,974,211,332,36,7,4,188,91
Gary Trent Jr.,TOR,71,1994,0.426,974,188,119,77,10,4,47,96
Bradley Beal,PHO,53,1767,0.513,964,232,265,52,27,0,131,127
Caris LeVert,CLE,68,1958,0.421,952,280,346,76,34,12,117,121
Jalen Suggs,ORL,75,2025,0.471,943,229,205,106,47,11,132,205
Jordan Clarkson,UTA,55,1682,0.413,942,188,277,35,6,4,146,81
Andrew Wiggins,GSW,71,1920,0.453,939,321,119,42,41,6,87,147
P.J. Washington,2TM,73,2221,0.436,939,411,141,72,59,0,96,169
P.J. Washington,CHO,44,1286,0.446,600,232,97,38,32,0,66,112
P.J. Washington,DAL,29,935,0.421,339,179,44,34,27,11,30,57
Cole Anthony,ORL,81,1817,0.435,937,311,236,64,37,11,126,175
Ayo Dosunmu,CHI,76,2212,0.501,924,216,242,68,36,7,103,166
Rui Hachimura,LAL,68,1826,0.537,923,294,81,41,25,8,46,101
Deandre Ayton,POR,55,1784,0.57,920,609,90,56,42,1,99,109
Dillon Brooks,HOU,72,2227,0.428,915,246,119,64,10,5,88,241
Jalen Johnson,ATL,56,1889,0.511,896,488,203,67,47,6,101,133
De'Andre Hunter,ATL,57,1681,0.459,891,222,87,40,16,6,83,146
Malik Beasley,MIL,79,2337,0.443,889,290,108,59,9,13,54,158
Jaime Jaquez Jr.,MIA,75,2113,0.489,889,285,195,77,20,8,110,167
Aaron Nesmith,IND,72,1995,0.496,877,275,108,65,49,10,64,241
Tyler Herro,MIA,42,1407,0.441,875,222,188,30,3,8,93,63
Duncan Robinson,MIA,68,1905,0.45,875,173,192,46,16,8,95,163
Mike Conley,MIN,76,2193,0.457,869,218,449,88,17,13,102,128
Scoot Henderson,POR,62,1765,0.385,868,194,336,48,13,1,212,195
Moritz Wagner,ORL,80,1415,0.601,868,347,96,39,21,11,97,160
Bojan Bogdanović,2TM,57,1478,0.454,868,152,97,30,5,0,101,95
Bojan Bogdanović,DET,28,921,0.468,565,94,71,23,4,1,63,57
Bojan Bogdanović,NYK,29,557,0.43,303,58,26,7,1,14,38,38
Saddiq Bey,ATL,63,2062,0.416,863,411,92,51,11,6,54,88
Jeremy Sochan,SAS,74,2193,0.438,861,476,249,62,40,2,140,168
Luguentz Dort,OKC,79,2246,0.438,860,284,113,72,47,15,74,228
Jrue Holiday,BOS,69,2263,0.48,860,373,333,61,53,15,124,108
Bennedict Mathurin,IND,59,1538,0.446,856,234,119,35,14,10,97,117
Max Strus,CLE,70,2239,0.418,853,338,283,64,29,12,112,170
Obi Toppin,IND,82,1730,0.573,843,320,128,47,43,10,69,143
Trey Murphy III,NOP,57,1690,0.443,842,280,124,51,28,9,34,70
Nic Claxton,BRK,71,2116,0.629,841,706,147,46,146,0,93,175
Jalen Duren,DET,61,1777,0.619,841,709,147,33,47,1,129,192
Herbert Jones,NOP,76,2321,0.498,837,272,199,105,62,9,93,224
Clint Capela,ATL,73,1883,0.571,836,776,91,43,106,6,74,164
Reggie Jackson,DEN,82,1817,0.431,833,155,308,44,13,14,106,149
Jusuf Nurkić,PHO,76,2078,0.51,829,837,301,81,80,0,175,254
Khris Middleton,MIL,55,1487,0.493,828,257,292,51,15,13,127,141
Daniel Gafford,2TM,74,1815,0.725,814,562,115,65,153,0,74,227
Daniel Gafford,WAS,45,1192,0.69,490,361,69,44,97,2,46,147
Daniel Gafford,DAL,29,623,0.78,324,201,46,21,56,11,28,80
Spencer Dinwiddie,2TM,76,2152,0.392,795,205,356,51,22,0,91,138
Spencer Dinwiddie,BRK,48,1474,0.391,604,158,288,38,9,0,62,86
Spencer Dinwiddie,LAL,28,678,0.397,191,47,68,13,13,8,29,52
Ivica Zubac,LAC,68,1794,0.649,794,626,93,22,83,12,79,180
Tyus Jones,WAS,66,1933,0.489,790,179,485,71,18,2,66,48
Payton Pritchard,BOS,82,1825,0.468,787,265,281,39,6,15,61,106
Evan Mobley,CLE,50,1532,0.58,785,468,160,45,72,12,90,134
Grant Williams,2TM,76,2130,0.456,784,318,174,44,39,0,109,226
Grant Williams,DAL,47,1242,0.413,382,169,81,24,27,11,53,137
Grant Williams,CHO,29,888,0.503,402,149,93,20,12,0,56,89
Zach Collins,SAS,69,1526,0.484,776,370,194,34,52,2,132,206
Cameron Johnson,BRK,58,1599,0.446,776,251,138,49,15,0,57,105
Tre Jones,SAS,77,2138,0.505,771,289,478,78,9,2,116,92
Georges Niang,CLE,82,1831,0.449,768,278,98,30,18,12,72,192
Kentavious Caldwell-Pope,DEN,76,2402,0.46,766,183,183,98,42,14,75,151
Kelly Olynyk,2TM,78,1759,0.555,762,411,347,74,30,0,152,230
Kelly Olynyk,UTA,50,1019,0.562,406,254,219,37,12,4,81,132
Kelly Olynyk,TOR,28,740,0.548,356,157,128,37,18,4,71,98
Josh Hart,NYK,81,2707,0.434,761,675,331,75,23,14,118,171
Jaden McDaniels,MIN,72,2105,0.489,757,224,101,63,42,13,87,219
Russell Westbrook,LAC,68,1529,0.454,754,343,306,74,23,12,144,121
Eric Gordon,PHO,68,1893,0.443,749,122,139,66,30,0,73,79
OG Anunoby,2TM,50,1702,0.489,733,208,107,68,36,0,81,119
OG Anunoby,TOR,27,900,0.489,408,106,72,28,13,4,43,62
OG Anunoby,NYK,23,802,0.488,325,102,35,40,23,14,38,57
T.J. McConnell,IND,71,1291,0.556,727,191,390,72,8,10,108,79
Bruce Brown,2TM,67,1866,0.478,726,284,192,59,17,0,86,148
Bruce Brown,IND,33,981,0.475,398,154,100,35,8,10,41,81
Bruce Brown,TOR,34,885,0.481,328,130,92,24,9,4,45,67
Alex Caruso,CHI,71,2040,0.468,715,273,247,120,70,7,102,181
Sam Hauser,BOS,79,1741,0.446,712,276,82,40,25,15,32,99
GG Jackson II,MEM,48,1233,0.428,699,196,59,28,24,3,65,64
Taurean Prince,LAL,78,2108,0.442,697,230,119,58,35,8,73,146
Simone Fontecchio,2TM,66,1644,0.46,692,246,101,44,23,0,68,110
Simone Fontecchio,UTA,50,1160,0.45,445,176,73,30,18,4,51,81
Simone Fontecchio,DET,16,484,0.479,247,70,28,14,5,1,17,29
Malaki Branham,SAS,75,1594,0.432,690,148,156,27,8,2,91,94
Alec Burks,2TM,66,1212,0.369,689,150,88,28,12,0,48,75
Alec Burks,DET,43,901,0.394,540,110,68,21,11,1,32,64
Alec Burks,NYK,23,311,0.307,149,40,20,7,1,14,16,11
Brandin Podziemski,GSW,74,1968,0.454,682,427,273,61,14,6,88,122
Andre Drummond,CHI,79,1351,0.556,663,708,37,73,48,7,81,140
Terance Mann,LAC,75,1873,0.515,658,254,119,43,15,12,48,145
Derrick Jones Jr.,DAL,76,1783,0.483,657,250,75,53,51,11,65,121
Nickeil Alexander-Walker,MIN,82,1921,0.439,655,167,204,64,42,13,76,143
Kevin Huerter,SAC,64,1562,0.443,655,224,166,45,23,7,53,135
Santi Aldama,MEM,61,1618,0.435,654,352,138,43,54,3,69,89
Nick Richards,CHO,67,1759,0.691,652,539,54,26,74,0,73,176
Isaac Okoro,CLE,69,1887,0.49,647,206,132,57,34,12,54,140
Caleb Martin,MIA,64,1756,0.431,640,281,143,47,29,8,77,126
Jabari Walker,POR,72,1700,0.46,638,508,71,42,22,1,66,173
Isaiah Joe,OKC,78,1445,0.458,636,180,99,46,22,15,47,87
Andrew Nembhard,IND,68,1697,0.498,626,141,280,63,6,10,101,143
Duop Reath,POR,68,1214,0.461,617,250,67,33,38,1,52,161
Malcolm Brogdon,POR,39,1121,0.44,613,148,214,27,8,1,60,58
Royce O'Neale,2TM,79,1954,0.397,608,377,219,59,44,0,73,174
Royce O'Neale,BRK,49,1202,0.388,364,221,137,32,29,0,51,120
Royce O'Neale,PHO,30,752,0.411,244,156,82,27,15,0,22,54
Wendell Carter Jr.,ORL,55,1406,0.525,603,381,95,35,28,11,68,121
Jalen Smith,IND,61,1047,0.592,601,337,63,17,38,10,44,124
Christian Braun,DEN,82,1655,0.46,600,306,132,42,35,14,55,137
Paul Reed,PHI,82,1590,0.54,600,488,109,67,84,9,67,198
Amen Thompson,HOU,62,1388,0.536,592,409,163,78,38,5,90,141
Marcus Sasser,DET,71,1351,0.428,586,125,236,44,12,1,90,103
Marvin Bagley III,2TM,50,1053,0.586,583,312,55,20,33,0,59,81
Marvin Bagley III,DET,26,478,0.591,265,118,27,5,14,1,29,40
Marvin Bagley III,WAS,24,575,0.581,318,194,28,15,19,2,30,41
Isaiah Hartenstein,NYK,75,1896,0.644,582,626,188,87,85,14,93,210
Dorian Finney-Smith,BRK,68,1934,0.421,580,317,107,56,38,0,59,150
Cam Whitmore,HOU,47,880,0.454,579,180,33,30,17,5,46,64
Cameron Payne,2TM,78,1304,0.432,578,117,205,42,11,0,66,126
Cameron Payne,MIL,47,702,0.455,291,62,109,22,3,13,31,73
Cameron Payne,PHI,31,602,0.413,287,55,96,20,8,9,35,53
Lonnie Walker IV,BRK,58,1011,0.423,565,127,74,32,20,0,51,71
Precious Achiuwa,2TM,74,1624,0.501,565,487,97,46,68,0,83,143
Precious Achiuwa,TOR,25,437,0.459,193,136,44,16,12,4,29,40
Precious Achiuwa,NYK,49,1187,0.525,372,351,53,30,56,14,54,103
Al Horford,BOS,65,1740,0.511,562,413,168,38,62,15,48,93
Miles McBride,NYK,68,1328,0.452,562,100,114,50,7,14,30,108
Onyeka Okongwu,ATL,55,1405,0.611,561,376,74,26,60,6,45,162
Cason Wallace,OKC,82,1692,0.491,561,187,120,76,37,15,45,129
Dalano Banton,2TM,54,1047,0.404,557,178,127,33,20,0,77,64
Dalano Banton,BOS,24,171,0.373,56,35,19,5,3,15,10,20
Dalano Banton,POR,30,876,0.408,501,143,108,28,17,1,67,44
Ausar Thompson,DET,63,1583,0.483,556,402,120,68,59,1,84,175
Jakob Poeltl,TOR,50,1319,0.656,555,429,127,35,76,4,77,149
Aaron Wiggins,OKC,78,1228,0.562,542,186,86,56,19,15,56,91
Trayce Jackson-Davis,GSW,68,1130,0.702,540,341,82,29,76,6,49,108
Moses Moody,GSW,66,1156,0.462,533,196,57,42,24,6,44,90
Chris Paul,GSW,58,1531,0.441,533,225,393,70,6,6,76,108
Bilal Coulibaly,WAS,63,1715,0.435,532,256,110,57,48,2,87,137
Peyton Watson,DEN,80,1488,0.465,532,258,86,42,88,14,58,143
Jaden Hardy,DAL,73,989,0.407,530,131,109,22,4,11,62,80
Toumani Camara,POR,70,1739,0.45,527,343,87,66,33,1,84,174
LaMelo Ball,CHO,22,711,0.433,526,113,176,40,4,0,83,79
Jordan Hawkins,NOP,67,1160,0.382,524,148,70,19,7,9,40,72
Vince Williams Jr.,MEM,52,1436,0.446,521,290,175,47,34,3,92,135
Walker Kessler,UTA,64,1493,0.654,518,481,60,30,154,4,66,132
Talen Horton-Tucker,UTA,51,1009,0.396,516,121,177,45,19,4,65,94
Dario Šarić,GSW,64,1098,0.466,515,283,144,31,10,6,78,112
Aaron Holiday,HOU,78,1269,0.446,514,123,140,42,6,5,53,125
Gradey Dick,TOR,60,1268,0.425,510,132,68,34,2,4,50,87
Shaedon Sharpe,POR,32,1059,0.406,510,160,94,28,12,1,72,88
Jeff Green,HOU,78,1307,0.456,509,178,70,16,31,5,46,100
Kyle Anderson,MIN,79,1782,0.46,506,273,331,71,47,13,91,128
Julian Champagnie,SAS,74,1468,0.408,504,206,103,48,42,2,57,77
Isaiah Stewart,DET,46,1423,0.487,503,305,73,17,38,1,66,99
Gordon Hayward,2TM,51,1245,0.464,500,181,158,40,13,0,66,67
Gordon Hayward,CHO,25,798,0.468,362,117,116,28,12,0,51,46
Gordon Hayward,OKC,26,447,0.453,138,64,42,12,1,15,15,21
Cedi Osman,SAS,72,1269,0.479,489,180,119,36,11,2,47,107
Zach LaVine,CHI,25,872,0.452,487,129,98,21,8,7,52,57
Kyle Lowry,2TM,60,1690,0.432,487,194,253,59,21,0,85,146
Kyle Lowry,MIA,37,1037,0.426,303,129,147,39,15,8,53,94
Kyle Lowry,PHI,23,653,0.444,184,65,106,20,6,9,32,52
Kevin Love,MIA,55,924,0.44,485,338,115,18,10,8,48,97
Sam Merrill,CLE,61,1069,0.402,485,120,108,19,4,12,19,72
Dereck Lively II,DAL,55,1294,0.747,483,378,60,36,77,11,50,144
Draymond Green,GSW,55,1490,0.497,475,398,332,55,47,6,135,166
Josh Green,DAL,57,1505,0.479,469,184,130,47,9,11,60,107
Naji Marshall,NOP,66,1257,0.463,466,240,128,49,12,9,65,91
Amir Coffey,LAC,70,1460,0.472,463,148,76,41,14,12,33,102
Ochai Agbaji,2TM,78,1641,0.411,455,216,83,47,44,0,64,117
Ochai Agbaji,UTA,51,1003,0.426,274,126,47,27,29,4,34,66
Ochai Agbaji,TOR,27,638,0.391,181,90,36,20,15,4,30,51
Patrick Beverley,2TM,73,1462,0.417,451,239,212,43,31,0,65,128
Patrick Beverley,PHI,47,919,0.432,294,145,144,24,18,9,49,83
Patrick Beverley,MIL,26,543,0.391,157,94,68,19,13,13,16,45
James Wiseman,DET,63,1091,0.613,446,336,54,12,39,1,66,141
Trendon Watford,BRK,63,856,0.527,432,194,81,23,19,0,63,106
Luke Kennard,MEM,39,999,0.448,429,113,136,20,2,3,54,39
Patrick Williams,CHI,43,1174,0.443,429,166,66,40,33,7,57,87
Pat Connaughton,MIL,76,1676,0.435,428,239,161,40,19,13,49,99
Dante Exum,DAL,55,1088,0.533,428,149,157,22,5,11,49,85
Josh Richardson,MIA,43,1103,0.444,425,121,105,24,14,8,36,76
David Roddy,2TM,65,1177,0.403,425,211,80,27,11,0,57,72
David Roddy,MEM,48,1114,0.402,403,200,76,25,11,3,54,68
David Roddy,PHO,17,63,0.435,22,11,4,2,0,0,3,4
Vasilije Micić,2TM,60,1176,0.43,422,88,262,31,7,0,99,68
Vasilije Micić,OKC,30,361,0.407,99,24,76,9,3,15,29,22
Vasilije Micić,CHO,30,815,0.437,323,64,186,22,4,0,70,46
De'Anthony Melton,PHI,38,1023,0.386,421,141,114,60,16,9,39,84
Ziaire Williams,MEM,51,1038,0.397,420,180,75,36,9,3,66,85
Trey Lyles,SAC,58,1158,0.445,419,257,72,17,19,7,38,86
Day'Ron Sharpe,BRK,61,921,0.571,415,389,85,24,44,0,70,131
Haywood Highsmith,MIA,66,1366,0.465,405,210,70,53,30,8,34,117
Jose Alvarado,NOP,56,1028,0.412,397,128,117,59,15,9,40,89
Jonathan Isaac,ORL,58,914,0.51,393,260,30,43,70,11,27,64
Isaiah Jackson,IND,59,771,0.665,383,238,50,34,61,10,39,137
Tre Mann,2TM,41,987,0.459,382,149,165,51,3,0,65,48
Tre Mann,OKC,13,119,0.5,49,24,20,3,0,15,9,3
Tre Mann,CHO,28,868,0.453,333,125,145,48,3,0,56,45
Malachi Flynn,3TM,69,876,0.418,380,114,130,38,8,0,63,66
Malachi Flynn,TOR,31,474,0.409,157,65,73,18,6,4,33,42
Malachi Flynn,NYK,14,60,0.391,31,6,6,1,0,14,3,3
Malachi Flynn,DET,24,342,0.43,192,43,51,19,2,1,27,21
Drew Eubanks,PHO,75,1169,0.601,379,322,63,27,61,0,61,115
Jake LaRavia,MEM,35,806,0.389,379,128,58,29,12,3,45,69
Davion Mitchell,SAC,72,1101,0.452,379,95,134,17,3,7,43,85
Kris Murray,POR,62,1348,0.396,376,224,80,53,21,1,55,92
Daniel Theis,2TM,60,1015,0.532,376,244,61,21,51,0,42,127
Daniel Theis,IND,1,8,0.25,2,0,0,0,0,10,0,1
Daniel Theis,LAC,59,1007,0.536,374,244,61,21,51,12,42,126
Gary Harris,ORL,54,1297,0.441,372,91,87,49,14,11,31,91
Dennis Smith Jr.,BRK,56,1059,0.435,369,164,203,68,12,0,68,121
Jordan Goodwin,2TM,57,1055,0.369,368,253,155,48,18,0,56,76
Jordan Goodwin,PHO,40,558,0.389,198,117,78,23,9,0,29,43
Jordan Goodwin,MEM,17,497,0.349,170,136,77,25,9,3,27,33
Jordan Nwora,2TM,52,712,0.462,364,149,62,26,13,0,53,48
Jordan Nwora,IND,18,183,0.451,94,33,18,6,1,10,12,19
Jordan Nwora,TOR,34,529,0.465,270,116,44,20,12,4,41,29
Quentin Grimes,2TM,51,1025,0.372,359,100,66,35,7,0,28,75
Quentin Grimes,NYK,45,910,0.395,327,88,52,30,3,14,21,66
Quentin Grimes,DET,6,115,0.214,32,12,14,5,4,1,7,9
Jevon Carter,CHI,72,1004,0.378,357,60,94,37,16,7,36,71
Kris Dunn,UTA,66,1249,0.47,357,189,254,68,28,4,79,135
Dyson Daniels,NOP,61,1358,0.447,354,236,164,85,25,9,59,101
Matisse Thybulle,POR,65,1487,0.397,354,136,90,113,49,1,40,93
Nikola Jović,MIA,46,896,0.452,352,192,90,25,14,8,42,82
Doug McDermott,2TM,64,904,0.433,351,59,70,16,2,0,28,64
Doug McDermott,SAS,46,700,0.442,276,48,57,11,2,2,24,48
Doug McDermott,IND,18,204,0.406,75,11,13,5,0,10,4,16
Larry Nance Jr.,NOP,61,1216,0.573,350,307,113,61,19,9,49,98
Christian Wood,LAL,50,872,0.466,347,254,49,16,33,8,50,72
Markelle Fultz,ORL,43,910,0.472,335,138,120,42,15,11,50,65
Luke Kornet,BOS,63,983,0.7,334,261,67,23,61,15,21,77
Kevon Looney,GSW,74,1195,0.597,334,419,133,28,29,6,50,155
Chimezie Metu,2TM,51,859,0.504,332,194,46,43,16,0,52,71
Chimezie Metu,PHO,37,448,0.508,185,110,19,19,9,0,27,39
Chimezie Metu,DET,14,411,0.5,147,84,27,24,7,1,25,32
Landry Shamet,WAS,46,726,0.431,327,62,54,25,10,2,30,76
Garrison Mathews,ATL,66,992,0.456,325,92,37,20,8,6,19,115
Kenrich Williams,OKC,69,1029,0.468,325,209,93,38,9,15,32,101
Chris Boucher,TOR,50,705,0.507,322,207,23,14,24,4,28,68
Nicolas Batum,2TM,60,1529,0.453,320,248,128,48,38,0,40,109
Nicolas Batum,LAC,3,54,0.375,8,7,5,3,4,12,1,5
Nicolas Batum,PHI,57,1475,0.456,312,241,123,45,34,9,39,104
Anthony Black,ORL,69,1164,0.466,316,139,91,35,21,11,56,110
Marcus Morris,2TM,49,817,0.439,316,134,36,15,13,0,30,74
Marcus Morris,PHI,37,637,0.439,247,109,26,13,11,9,19,61
Marcus Morris,CLE,12,180,0.441,69,25,10,2,2,12,11,13
Jae Crowder,MIL,50,1156,0.422,312,161,66,38,9,13,23,74
Goga Bitadze,ORL,62,957,0.603,311,286,79,32,72,11,44,107
Keon Ellis,SAC,57,978,0.461,310,124,85,51,29,7,37,112
Torrey Craig,CHI,53,1049,0.43,303,217,58,30,21,7,32,110
Jaxson Hayes,LAL,70,877,0.72,303,211,33,34,29,8,43,123
Bryce McGowens,CHO,59,882,0.439,302,102,51,21,10,0,30,74
Nick Smith Jr.,CHO,51,729,0.391,302,72,59,10,7,0,39,55
Joe Ingles,ORL,68,1169,0.436,296,142,203,43,5,11,67,88
Taylor Hendricks,UTA,40,856,0.45,292,185,32,28,30,4,27,77
Dean Wade,CLE,54,1108,0.414,291,218,43,40,25,12,20,93
Dāvis Bertāns,2TM,43,674,0.393,290,61,35,26,12,0,18,56
Dāvis Bertāns,OKC,15,91,0.385,44,10,9,3,3,15,1,10
Dāvis Bertāns,CHO,28,583,0.394,246,51,26,23,9,0,17,46
Killian Hayes,DET,42,1008,0.413,289,119,205,36,20,1,51,75
Marcus Smart,MEM,20,605,0.43,289,53,86,41,5,3,62,53
Craig Porter Jr.,CLE,51,649,0.509,285,109,118,21,15,12,45,40
Max Christie,LAL,67,944,0.427,284,142,60,20,17,8,35,57
Xavier Tillman Sr.,2TM,54,974,0.434,284,211,77,51,44,0,34,75
Xavier Tillman Sr.,MEM,34,700,0.408,204,157,57,42,35,3,29,60
Xavier Tillman Sr.,BOS,20,274,0.515,80,54,20,9,9,15,5,15
Bruno Fernando,ATL,45,682,0.583,282,193,46,25,28,6,44,107
Danilo Gallinari,3TM,49,630,0.437,280,108,55,14,6,0,23,50
Danilo Gallinari,WAS,26,385,0.435,181,76,31,6,3,2,12,26
Danilo Gallinari,DET,6,90,0.545,52,14,12,2,2,1,1,9
Danilo Gallinari,MIL,17,155,0.378,47,18,12,6,1,13,10,15
Josh Okogie,PHO,60,960,0.417,277,154,64,48,24,0,36,68
Jaylin Williams,OKC,69,897,0.417,276,234,110,28,27,15,34,98
Jock Landale,HOU,56,763,0.515,274,172,65,20,33,5,31,74
Lamar Stevens,2TM,38,559,0.45,272,127,28,23,22,0,24,45
Lamar Stevens,BOS,19,122,0.467,53,31,8,6,5,15,9,14
Lamar Stevens,MEM,19,437,0.446,219,96,20,17,17,3,15,31
Scotty Pippen Jr.,MEM,21,527,0.493,271,67,98,36,10,3,56,60
Blake Wesley,SAS,61,876,0.474,268,94,166,29,9,2,55,89
Jae'Sean Tate,HOU,65,1031,0.472,265,197,64,42,15,5,37,137
Cam Reddish,LAL,48,984,0.389,260,99,48,47,14,8,31,64
Bones Hyland,LAC,37,540,0.386,256,55,93,26,4,12,44,51
Mo Bamba,PHI,57,740,0.49,253,238,41,22,60,9,39,101
Caleb Houstan,ORL,59,815,0.388,253,84,29,15,4,11,16,61
A.J. Green,MIL,56,614,0.423,252,64,30,9,4,13,12,49
Ben Sheppard,IND,57,814,0.393,252,89,53,33,2,10,15,88
Jared Butler,WAS,40,566,0.488,251,58,126,29,8,2,50,58
Troy Brown Jr.,2TM,59,827,0.372,247,144,60,24,3,0,30,42
Troy Brown Jr.,MIN,37,410,0.441,154,72,35,8,2,13,18,26
Troy Brown Jr.,DET,22,417,0.296,93,72,25,16,1,1,12,16
Mason Plumlee,LAC,46,674,0.569,244,234,55,14,17,12,36,68
Mark Williams,CHO,19,508,0.649,242,184,22,16,20,0,17,50
Brice Sensabaugh,UTA,32,584,0.39,241,102,55,13,6,4,47,43
Gary Payton II,GSW,44,680,0.563,240,113,48,39,18,6,27,77
John Konchar,MEM,55,1173,0.423,235,257,110,51,51,3,46,76
Justin Holiday,DEN,58,862,0.454,234,71,67,36,9,14,14,69
Chris Duarte,SAC,59,719,0.381,230,106,44,28,8,7,26,80
Julian Strawther,DEN,50,545,0.369,227,61,47,17,7,14,23,54
Ja Morant,MEM,9,318,0.471,226,50,73,7,5,3,27,19
Seth Curry,2TM,44,616,0.392,226,68,44,22,6,0,21,39
Seth Curry,DAL,36,457,0.372,154,52,30,17,3,11,16,32
Seth Curry,CHO,8,159,0.441,72,16,14,5,3,0,5,7
Sasha Vezenkov,SAC,42,511,0.44,225,96,19,20,7,7,12,42
KJ Martin,2TM,60,746,0.536,224,131,51,22,12,0,32,100
KJ Martin,LAC,2,31,0.4,10,3,1,2,1,12,2,3
KJ Martin,PHI,58,715,0.544,214,128,50,20,11,9,30,97
Bol Bol,PHO,43,469,0.616,223,137,17,10,25,0,19,42
Kevin Knox,DET,31,560,0.462,223,75,23,13,7,1,22,50
Omer Yurtseven,UTA,48,545,0.538,222,208,29,8,18,4,37,52
Evan Fournier,2TM,32,580,0.357,220,58,48,29,7,0,21,48
Evan Fournier,NYK,3,39,0.2,12,4,3,4,0,14,1,4
Evan Fournier,DET,29,541,0.373,208,54,45,25,7,1,20,44
Thomas Bryant,MIA,38,441,0.577,217,141,23,10,16,8,21,46
Shake Milton,3TM,48,581,0.405,216,75,60,19,6,0,31,54
Shake Milton,MIN,38,491,0.4,178,51,50,16,5,13,28,44
Shake Milton,DET,4,63,0.423,27,18,6,2,1,1,3,3
Shake Milton,NYK,6,27,0.444,11,6,4,1,0,14,0,7
Tari Eason,HOU,22,480,0.466,215,153,27,31,19,5,20,51
Jalen Wilson,BRK,43,664,0.425,214,131,45,11,4,0,19,48
MarJon Beauchamp,MIL,48,608,0.488,211,99,31,13,7,13,27,54
Cody Martin,CHO,28,753,0.381,211,109,104,32,18,0,44,48
Delon Wright,2TM,47,742,0.394,210,86,119,54,11,0,14,32
Delon Wright,WAS,33,456,0.393,134,59,82,35,8,2,11,22
Delon Wright,MIA,14,286,0.394,76,27,37,19,3,8,3,10
Dwight Powell,DAL,63,836,0.679,208,214,84,26,20,11,32,113
Eugene Omoruyi,WAS,43,393,0.485,207,85,35,27,5,2,21,62
Oshae Brissett,BOS,55,630,0.444,201,160,44,19,8,15,20,54
JT Thor,CHO,63,781,0.437,199,146,29,11,27,0,15,60
Richaun Holmes,2TM,40,555,0.558,199,182,25,11,19,0,24,74
Richaun Holmes,DAL,23,237,0.559,78,78,15,3,9,11,12,33
Richaun Holmes,WAS,17,318,0.557,121,104,10,8,10,2,12,41
Keita Bates-Diop,2TM,53,665,0.434,197,110,38,25,22,0,15,35
Keita Bates-Diop,PHO,39,597,0.427,174,101,34,22,20,0,13,33
Keita Bates-Diop,BRK,14,68,0.5,23,9,4,3,2,0,2,2
Jordan McLaughlin,MIN,56,626,0.483,195,72,110,35,7,13,19,31
Maxi Kleber,DAL,43,871,0.432,191,143,68,17,30,11,28,79
Derrick Rose,MEM,24,399,0.461,191,45,78,8,2,3,31,21
Sandro Mamukelashvili,SAS,46,451,0.471,190,147,49,7,12,2,19,35
Anthony Gill,WAS,50,466,0.469,189,94,34,13,11,2,23,48
Zeke Nnaji,DEN,58,576,0.463,186,126,32,15,38,14,27,81
JaVale McGee,SAC,46,339,0.598,185,126,17,14,20,7,34,46
Dalen Terry,CHI,59,681,0.439,180,113,81,27,18,7,32,81
Luka Šamanić,UTA,43,404,0.38,177,102,19,5,7,4,28,32
Bismack Biyombo,2TM,40,791,0.565,174,209,53,11,37,0,42,89
Bismack Biyombo,MEM,30,718,0.563,156,191,51,10,34,3,38,82
Bismack Biyombo,OKC,10,73,0.583,18,18,2,1,3,15,4,7
Ricky Council IV,PHI,32,289,0.482,173,46,16,8,1,9,5,17
Jacob Gilyard,2TM,41,699,0.4,173,46,137,33,5,0,30,39
Jacob Gilyard,MEM,37,654,0.417,173,43,131,27,5,3,29,35
Jacob Gilyard,BRK,4,45,0.0,0,3,6,6,0,0,1,4
Mitchell Robinson,NYK,31,768,0.575,173,263,18,37,35,14,25,55
Trey Jemison,2TM,25,573,0.551,171,134,27,12,28,0,34,69
Trey Jemison,MEM,23,572,0.551,171,133,27,12,28,3,33,69
Jalen McDaniels,TOR,50,538,0.344,169,79,37,19,6,4,30,52
Patrick Baldwin Jr.,WAS,38,493,0.381,168,123,29,18,15,2,19,56
Brandon Boston Jr.,LAC,32,345,0.404,167,52,13,11,8,12,24,40
Lester Quiñones,GSW,37,394,0.397,164,72,36,6,2,6,17,44
Monte Morris,2TM,33,476,0.405,164,57,69,19,9,0,7,14
Monte Morris,DET,6,68,0.364,27,12,8,1,1,1,2,1
Monte Morris,MIN,27,408,0.417,137,45,61,18,8,13,5,13
Jaden Springer,2TM,49,507,0.399,163,78,44,36,15,0,34,66
Jaden Springer,PHI,32,377,0.39,128,58,35,25,11,9,26,49
Jaden Springer,BOS,17,130,0.433,35,20,9,11,4,15,8,17
Svi Mykhailiuk,BOS,41,413,0.416,162,51,35,11,1,15,12,19
Tristan Thompson,CLE,49,549,0.608,161,174,51,12,14,12,29,59
Mike Muscala,3TM,53,600,0.359,157,125,36,9,13,0,22,52
Mike Muscala,WAS,24,338,0.367,95,75,22,5,7,2,16,31
Mike Muscala,DET,13,171,0.341,45,29,10,3,5,1,2,13
Mike Muscala,OKC,16,91,0.364,17,21,4,1,1,15,4,8
Rayan Rupert,POR,39,633,0.335,155,92,62,12,3,1,31,56
Skylar Mays,2TM,38,433,0.396,155,43,85,21,4,0,20,26
